SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
2893,XRP,XRP,06/07/2021 23:59,0.67992344,0.65267606,0.6530552,0.66540248,1938959239,30722840711
2892,XRP,XRP,05/07/2021 23:59,0.69565342,0.64849214,0.69565342,0.65430037,2076373188,30193951998
2891,XRP,XRP,04/07/2021 23:59,0.70778299,0.66580247,0.67321757,0.69494543,1885241527,32069596319
2890,XRP,XRP,03/07/2021 23:59,0.683677,0.64465289,0.65563879,0.67288818,1872819597,31051722073
2889,XRP,XRP,02/07/2021 23:59,0.66728684,0.63472596,0.65989024,0.65676289,2061607208,30307589485
2888,XRP,XRP,01/07/2021 23:59,0.70478532,0.64679589,0.70478532,0.66118021,2553971177,30511435260
2887,XRP,XRP,30/06/2021 23:59,0.71367337,0.6494562,0.70568132,0.70637445,3097076849,32597010801
2886,XRP,XRP,29/06/2021 23:59,0.72772641,0.64235149,0.64394139,0.70172477,3325816845,32382442285
2885,XRP,XRP,28/06/2021 23:59,0.65444544,0.62455104,0.64828473,0.64374639,2323398761,29769741286
2884,XRP,XRP,27/06/2021 23:59,0.65177236,0.59764223,0.6169935,0.64692267,2329301222,29916626946
2883,XRP,XRP,26/06/2021 23:59,0.63167604,0.58241476,0.61158601,0.61543549,2458620798,28460517498
2882,XRP,XRP,25/06/2021 23:59,0.68846859,0.60338303,0.67291093,0.61332274,3120943105,28362814442
2881,XRP,XRP,24/06/2021 23:59,0.69101019,0.61738169,0.63859048,0.67199983,2781916002,31076307998
2880,XRP,XRP,23/06/2021 23:59,0.66054872,0.52366285,0.54694374,0.62653535,4239151745,28973825088
2879,XRP,XRP,22/06/2021 23:59,0.64891896,0.5127098,0.60723167,0.54506708,4784173339,25206364296
2878,XRP,XRP,21/06/2021 23:59,0.77979012,0.60517528,0.7747952,0.61038802,4048720475,28203450403
2877,XRP,XRP,20/06/2021 23:59,0.78429488,0.69937224,0.76037673,0.77637699,3068578656,35873098744
2876,XRP,XRP,19/06/2021 23:59,0.80686947,0.75870965,0.79830634,0.7616733,2208439278,35193703528
2875,XRP,XRP,18/06/2021 23:59,0.84491953,0.77498521,0.842324,0.79764845,2509639518,36855962940
2874,XRP,XRP,17/06/2021 23:59,0.86142898,0.8258751,0.83173338,0.84143816,2684672890,38879300577
2873,XRP,XRP,16/06/2021 23:59,0.87337545,0.82755368,0.86685424,0.83190807,2916163481,38438955214
2872,XRP,XRP,15/06/2021 23:59,0.90225335,0.86029048,0.88706886,0.88980016,3585820721,41113903952
2871,XRP,XRP,14/06/2021 23:59,0.92611019,0.86381507,0.88304764,0.89289677,3005221040,41242521557
2870,XRP,XRP,13/06/2021 23:59,0.88807749,0.81927254,0.83325198,0.88316045,3059837086,40792805237
2869,XRP,XRP,12/06/2021 23:59,0.84787876,0.8076977,0.84787876,0.83268337,2731548390,38461290204
2868,XRP,XRP,11/06/2021 23:59,0.87919072,0.83594306,0.8692466,0.84845025,2502880892,39189555813
2867,XRP,XRP,10/06/2021 23:59,0.92782748,0.85379667,0.92132381,0.86918199,3157272780,40147146244
2866,XRP,XRP,09/06/2021 23:59,0.92003365,0.83233097,0.87405799,0.92003365,3990884688,42495962615
2865,XRP,XRP,08/06/2021 23:59,0.88549837,0.78864339,0.86278092,0.87578752,4491339501,40452252991
2864,XRP,XRP,07/06/2021 23:59,0.97434637,0.84898196,0.94671788,0.86115488,3466113432,39743170142
